Company Name,ISO Country Code,Country,City,Address,NACE Rev. 2 Code principal,"NACE Principal Rev. 2, description",Sector,Main activity,Description in Original language,Description in English,Website,Operating result [=EBIT] mEUR 2021,Operating result [=EBIT] mEUR 2020,Operating result [=EBIT] mEUR 2019,Turnover mEUR 2021,Turnover mEUR 2020,Turnover mEUR 2019,Availability of financial data,2 years of consecutive losses,Average loss over 3 years,Additional Websites,Meta Title,Meta Description,Meta Keywords,Additional Meta Title,Additional Meta Description,Additional Meta Keywords,Translated Meta Title,Translated Meta Description,Translated Additional Meta Title,Translated Additional Meta Description
B & B COLLECTION SRL,RO,Roumanie,BUCURESTI SECTORUL 3,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the import and distribution of more than 100 international brands of watches and jewelry,Wholesale,,Engaged in the import and distribution of more than 100 international brands of watches and jewelry [source: Bureau van Dijk],www.bbcollection.ro,11,7,10,88,70,86,YES,NO,NO,,"B&B Collection - Ceasuri, Bijuterii, Genti si Accesorii, Instrumente de scris, Cosmetice, Ceasuri elvetiene.",,,,,,"B&B Collection - watches, jewelry, bags and accessories, writing tools, cosmetics, Swiss watches.",,,
SEZONNAYA KOLLEKTSIYA,RU,Fédération de Russie,MOSCOW,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the operation of shoe stores,Retail,???????? ??????,Engaged in the operation of shoe stores [source: Bureau van Dijk],zenden.ru,1,0,-2,78,60,128,YES,NO,YES,,ÐÑ Ð½Ðµ ÑÐ¾Ð±Ð¾Ñ?,,,,,,ÐÑ Ð½Ðµ ÑÐ¾Ð±Ð¾Ñ?,,,
GRUPPO PRITELLI S.R.L.,IT,Italie,CATTOLICA,VIA RESPIGHI 54 INT.4,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the management and operation of clothing stores,Retail,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,Engaged in the management and operation of clothing stores [source: Bureau van Dijk],www.gruppopritelli.it,2,0,1,74,67,63,YES,NO,NO,www.gpracingapparels.com,Gruppo Pritelli,Gruppo Pritelli è un’azienda in continua evoluzione. La creatività e il talento hanno permesso al Gruppo di intuire le tendenze future.,,Official Clothing and accessories MotoGP | GP Racing Apparels,Buy the MotoGP and Superbike clothing and accessories. Riders and teams merchandising is on GP Racing Apparel.,"Motogp, merchandising, store, superbike, apparel",Prielli Group,Group Prielli is a company in constant evolution. Creativity and talent have allowed the group to guess future trends.,Official Clothing and accessories MotoGP | GP Racing Apparels,Buy the MotoGP and Superbike clothing and accessories. Riders and teams merchandising is on GP Racing Apparel.
SUGAR S.R.L.,IT,Italie,AREZZO,CORSO ITALIA 60,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,,www.sugar.it,9,7,8,72,75,77,YES,NO,NO,www.sugarmondialsrl.com,SUGAR - CONTEMPORARY IDEAS ON FASHION - MENSWEAR AND WOMENSWEAR,"Luxury shop for everything fashion - SUGAR boasts an exclusive selection from the best designers of clothes , shoes, bags and accessories for men and women. Register to get access to unique designs.",,,,,SUGAR - CONTEMPORARY IDEAS ON FASHION - MENSWEAR AND WOMENSWEAR,"Luxury shop for everything fashion - SUGAR boasts an exclusive selection from the best designers of clothes , shoes, bags and accessories for men and women. Register to get access to unique designs.",,
TREID MANAGEMENT,RU,Fédération de Russie,MOSCOW,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the wholesale of clothing apparel,Wholesale,??????? ??????,Engaged in the wholesale of clothing apparel [source: Bureau van Dijk],lgcity.ru,8,6,11,70,62,93,YES,NO,NO,,,,,,,,,,,
WISE S.R.L.,IT,Italie,CREMONA,CORSO GIUSEPPE MAZZINI 71,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation of a chain of family clothing stores,Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Engaged in the operation of a chain of family clothing stores [source: Bureau van Dijk],www.wiseboutique.com,2,1,1,69,65,70,YES,NO,NO,www.netwise.it,Wise Boutique,,"Magento, Varien, E-commerce",,,,Wise Boutique,,,
ETERNA MODE GMBH ZWEIGNIEDERLASSUNG OESTERREICH,AT,Autriche,PARNDORF,,4771,Commerce de détail d'habillement en magasin spécialisé,,,,,,-4,2,11,67,79,108,YES,NO,NO,,,,,,,,,,,
NEW YORKER HUNGARY KERESKEDELMI KORLATOLT FELELOSSEGU TARSASAG,HU,Hongrie,BUDAPEST,,4751,Commerce de détail de textiles en magasin spécialisé,Engaged in the retail trade of clothing apparels and footwear for men and women,Retail,,Engaged in the retail trade of clothing apparels and footwear for men and women [source: Bureau van Dijk],www.newyorker.de,22,13,17,67,55,67,YES,NO,NO,,NEW YORKER | Dress for the moment,"Entdecke die neuesten Modetrends fÃ¼r Damen und Herren bei NEW YORKER. Kleidung von AMISU, CENSORED, FISHBONE, SMOG und BLACK SQUAD.","Amisu, Smog, Fishbone, Censored, Accessoires, Denim, Streetwear, Sportwear, Underwear, Trends, Outfits, Kollektionen",,,,NEW YORKER | Dress for the moment,"Discover the latest fashion trends for women and men at New Yorker. Clothing by Amisu, Censored, Fishbone, Smog and Black Squad.",,
ARENA,RU,Fédération de Russie,MOSCOW,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Retail sale of leather goods,Retail,???????? ?????? ? ????????????,sale of footwear and accessories,www.noone.ru,6,3,1,64,48,69,YES,NO,NO,arena-city65.ru,"Мультибрендовый магазин NO ONE — итальянская обувь, сумки и аксессуары","NO ONE (НОУВАН) это более 100 европейских брендов обуви, одежды, сумок и аксессуаров: AGL, Baldinini, Casadei, Fabi, Premiata, Principe Di Bologna, Sergio Rossi, Doucal’s и многие другие.","Более 90 европейских брендов: AGL, Baldinini, Casadei, Fabi, Premiata, Sergio Rossi. Все в наличии! Закажите сейчас",,,,"NO ONE multi -brand store - Italian shoes, bags and accessories","No One (Nawwan) is more than 100 European brands of shoes, clothes, bags and accessories: AGL, Baldinini, Casadei, Fabi, Premiata, Principe di Bologna, Sergio Rossi, Doucal’s and many others.",,
ENCUENTRO MODAS SLU,ES,Espagne,ARAFO,,4771,Commerce de détail d'habillement en magasin spécialisé,"Primarily engaged in the design, manufacture and retail sale of wearing apparel and accessories",Manufacturing,Comercio al por menor de prendas de vestir y complementos para señora.,"Primarily engaged in the design, manufacture and retail sale of wearing apparel and accessories [source: Bureau van Dijk]",www.encuentromoda.com,0,-5,3,64,54,74,YES,NO,YES,,ENCUENTRO | Moda para Mujer de la talla 38 a la 48,"Ropa de mujer de la talla 38 a la talla 48. Inspírate con la nueva colección de Encuentro y descubre las últimas tendencias en ropa y accesorios de mujer a precios asequibles. Abrigos, bolsos, ropa, bisutería, vestidos, camisetas y mucho más. ENCUENTRO REBAJAS | ÚLTIMOS PRECIOS","Encuentro, tienda, online, moda, mujer, comprar, tendencias, verano, primavera, otoño, invierno, tallas 38 a 48,",,,,Meeting | Fashion for women of size 38 at 48,"Women's clothing size 38 to size 48. Inspy with the new meeting collection and discover the latest trends in women's clothing and accessories at affordable prices. Coats, bags, clothing, jewelry, dresses, t -shirts and much more. Meeting Sale | Last prices",,
"TORRES JOALHEIROS, S.A.",PT,Portugal,LISBOA,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail sale of watches and jewelry,Retail,"A sociedade tem por objeto social o comércio de ourivesaria, joalharia e relojoarias, bijuteria e artigos afins incluindo os produzidos ou comercializados pelas marcas representadas bem como o exercício destas atividades comerciais por correspondência ou via internet",Engaged in the retail sale of watches and jewelry [source: Bureau van Dijk],www.torres.pt,15,8,12,64,46,68,YES,NO,NO,torres.pt,Alta Relojoaria e Joalharia em Lisboa e Cascais | Torres Joalheiros,Torres Joalheiros é especialista em alta relojoaria e joalharia em Lisboa e Cascais. Com mais de 100 anos de história representa mais de 40 marcas de luxo.,,Alta Relojoaria e Joalharia em Lisboa e Cascais | Torres Joalheiros,Torres Joalheiros é especialista em alta relojoaria e joalharia em Lisboa e Cascais. Com mais de 100 anos de história representa mais de 40 marcas de luxo.,,High Watchmaker and Jewelery in Lisbon and Cascais | Towers jewelers,Towers jewelers specializes in high watchmaking and jewelery in Lisbon and Cascais. With over 100 years of history it represents over 40 luxury brands.,High Watchmaker and Jewelery in Lisbon and Cascais | Towers jewelers,Towers jewelers specializes in high watchmaking and jewelery in Lisbon and Cascais. With over 100 years of history it represents over 40 luxury brands.
C & A MODE KERESKEDELMI KORLATOLT FELELOSSEGU TARSASAG,HU,Hongrie,BUDAPEST,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing apparels and footwear for men and women,Retail,,Engaged in the retail sale of clothing apparels and footwear for men and women [source: Bureau van Dijk],www.c-and-a.com/hu,2,-5,3,64,52,79,YES,NO,NO,"www.c-and-a.hu
www.c-and-a.com/eu/en/shop",C&A Mode günstig online kaufen | C&A Online-Shop,Entdecke Mode für die ganze Familie zu günstigen Preisen ➽ Jetzt bei C&A ➽ Große Auswahl ✓ Trendige Styles ✓,,,,,Buy C&A fashion cheap online C&A online shop,Discover fashion for the whole family at affordable prices ➽ now at C&A ➽ Large selection ✓ trendy styles ✓,,
"JOINT STOCK COMPANY STOLESHNIKOV,12 JSC STOLESHNIKOV,12",RU,Fédération de Russie,MOSCOW,"PER. NIZHNII KISELNYI D. 4, ET 5 POM.I KOM 15",4771,Commerce de détail d'habillement en magasin spécialisé,Retail distribution of knitted and crocheted apparel,Retail,,Retail distribution of knitted and crocheted apparel [source: Bureau van Dijk],hermes.com,16,8,7,62,37,38,YES,NO,NO,,403 Forbidden,,,,,,403 Forbidden,,,
AXEL KAUFMANN APS,DK,Danemark,AARHUS C,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing principally in Denmark,Retail,,Engaged in the retail sale of clothing principally in Denmark [source: Bureau van Dijk],www.kaufmann.dk,1,0,1,57,62,70,YES,NO,NO,,Herretøj online | » Køb stilfuldt herretøj hos Kaufmann,» Køb herremode hos Kaufmann | Altid et stort udvalg af herretøj | Sikker nethandel ✓ | Byt i Kaufmanns butikker over hele landet ✓,,,,,Men's clothing online | »Buy stylish men's clothing at Kaufmann,»Buy men's fashion from Kaufmann | Always a large selection of men's clothing | Safe online commerce ✓ | Swap in Kaufmann's stores across the country ✓,,
OCHNIK S.A.,PL,Pologne,GARWOLIN,,4771,Commerce de détail d'habillement en magasin spécialisé,Primarily engaged in the retail sale of clothing and accessories in Poland,Retail,,Primarily engaged in the retail sale of clothing and accessories in Poland [source: Bureau van Dijk],www.ochnik.com,9,4,6,58,44,55,YES,NO,NO,,OCHNIK | OdzieÅ¼ i galanteria skÃ³rzana najwyÅ¼szej jakoÅci,Sklep internetowy renomowanej polskiej marki OCHNIK z najwyÅ¼szej jakoÅci galanteriÄ i odzieÅ¼Ä skÃ³rzanÄ. SprawdÅº naszÄ ofertÄ i wybierz coÅ dla siebie!,"OCHNIK, OCHNIK sklep, kurtki skÃ³rzane, kurtki damskie, kurtki mÄskie, koÅ¼uch damski, koÅ¼uch mÄski, torebki skÃ³rzane, portfele skÃ³rzane, teczki, rÄkawiczki",,,,Ochnik | Odzieå.,Online store of the renowned Polish brand Ochnik from the highest quality galanteri and clothing. Check our offers and choose something for yourself!,,
ME AND EM LIMITED,GB,Royaume-Uni,LONDON,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail distribution of clothing,Retail,,Design and retail contemporary clothing and accessories.,www.meandem.com,12,2,0,57,26,20,YES,NO,NO,,Women's Designer Fashion + Luxury Clothing | ME+EM,Welcome to ME+EM. Discover luxury and contemporary fashion with timeless style. Shop designer clothing and accessories for women.,,,,,Women's Designer Fashion + Luxury Clothing | ME+EM,Welcome to ME+EM. Discover luxury and contemporary fashion with timeless style. Shop designer clothing and accessories for women.,,
CARRY SP. Z O.O.,PL,Pologne,POZNAN,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing,Retail,,Trade: outwear,www.carry.pl,9,2,6,56,50,79,YES,NO,NO,,CARRY.PL - Sklep z modą damską i męską,Sprawdź naszą szeroką ofertę i zamów ubrania z darmową dostawą już od 150 zł w Carry.pl,,,,,Carry.pl - shop with women's and male fashion,Check out our wide offer and order clothes with free delivery from PLN 150 at Carry.pl,,
NEWFASHION LIMITED LIABILITY COMPANY,RU,Fédération de Russie,MOSCOW,,4751,Commerce de détail de textiles en magasin spécialisé,Engaged in the retail sale of textiles in specialised stores,Retail,???????? ??????? ???????? ????? FINN FLARE.,"Sale of clothing, trademark FINN FLARE.",www.finn-flare.ru,7,5,8,55,47,83,YES,NO,NO,,Just a moment...,,,,,,Just a moment...,,,
PANCLUB JSC,RU,Fédération de Russie,MOSCOW,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in selling jewelry and other related personal adornment,Retail,???????? ?????????? ?????????,Engaged in selling jewelry and other related personal adornment [source: Bureau van Dijk],pandora.net,4,1,13,55,41,77,YES,NO,NO,pandorarussia.ru,Attention Required! | Cloudflare,,,Ювелирные украшения PanClub – купить в официальном интернет-магазине (ex Pandora) с доставкой по Москве и РФ,"PanClub (ex Pandora) - это ювелирный мультибренд с украшениями талантливых дизайнеров, которые влюбляют в себя с первого взгляда.  Выбирайте изделия Pandora и еще более 25 брендов для себя или в подарок: золото и серебро, кольца и серьги со вставками из драгоценных камней. Бриллианты, топазы и аметисты, горный хрусталь, цитрины и золотистые россыпи рутила — все они готовы стать вашими ювелирными талисманами.  Гарантия качества. Доставка по всей России.",,Attention Required! | Cloudflare,,Panclub jewelry-buy in an official online store (ex pandora) with delivery in Moscow and the Russian Federation,"Panclub (Ex Pandora) is a jewelry multibrand with decorations of talented designers that fall in love with themselves at first sight.  Choose Pandora products and more than 25 brands for yourself or as a gift: gold and silver, rings and earrings with inserts of precious stones. Diamonds, topazes and amethysts, mountain crystal, citrines and golden placers rushed - they are all ready to become your jewelry talismans.  Quality assurance. Delivery throughout Russia."
PLANETA SPORT D.O.O. BEOGRAD,RS,Serbie,BEOGRAD-VRACAR,,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail of sports equipment, accessories, and clothing products",Retail,,Retail sale of clothing in specialised stores,www.planetasport.rs,9,7,7,54,44,42,YES,NO,NO,www.planplus.rs,"Patike, Sportska oprema, obuća, odeća - Kupujte Online | Planeta Sport","Planeta Sport - Najveća ponuda patika, sportske odeće i obuće u Srbiji. Najbolje cene i akcije u svakoj sezoni. Nova kolekcija 2024. ONLINE prodaja.","Patike, Sportska oprema, odeća, obuća",Digitalna mapa i poslovni adresar Srbije | PlanPlus.rs,"Sve ulice, javni i poslovni objekti na jednom mestu. Adrese, telefoni, tačne lokacije, radno vreme.","planplus.rs, planplus, mapa, mapa ulica, mapa srbije, mapa beograda, internet portal, internet portal srbije","Sneakers, Sports equipment, Footwear, clothing - buy online | Planet sport","Planet Sport - the largest supply of sneakers, sports clothing and footwear in Serbia. Best prices and actions in each season. New collection 2024. Online sales.",Digital folder and business address Book of Serbia | Planplus.rs,"All streets, public and business facilities in one place. Addresses, phones, accurate locations, working hours."
VENEZIA OGANOWSKA NACHILO SP.J.,PL,Pologne,WARSZAWA,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Primarily engaged in the retail sale of footwear and leather goods,Retail,,"Trade: footwear, leather accessories",www.venezia.pl,0,-6,3,53,45,65,YES,NO,YES,venezia.pl,"Venezia – firmowy sklep online. Markowe buty online, obuwie damskie, obuwie męskie, torby damskie, kurtki damskie
						- Sklep z butami online Venezia",,,"Venezia – firmowy sklep online. Markowe buty online, obuwie damskie, obuwie męskie, torby damskie, kurtki damskie
						- Sklep z butami online Venezia",,,"Venezia - company online store. Branded online shoes, women's footwear, men's footwear, women's bags, women's jackets
						- Venezia online shoes store",,"Venezia - company online store. Branded online shoes, women's footwear, men's footwear, women's bags, women's jackets
						- Venezia online shoes store",
MYUNTS GRUPP,RU,Fédération de Russie,MOSCOW,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,"Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear for men, women and children",Retail,???????? ??????,"Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear for men, women and children [source: Bureau van Dijk]",thomas-muenz.ru,8,4,3,53,29,47,YES,NO,NO,,ÐÑ Ð½Ðµ ÑÐ¾Ð±Ð¾Ñ?,,,,,,ÐÑ Ð½Ðµ ÑÐ¾Ð±Ð¾Ñ?,,,
VAN GRAAF GMBH SP.K.,PL,Pologne,WROCLAW,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of outerwear,Retail,,Trade: outwear,www.vangraaf.pl,-1,-6,2,48,37,59,YES,YES,,www.vangraaf.com,VANGRAAF.COM,,,VAN GRAAF International - Company,"Since its foundation in 2001, VAN GRAAF has become one of the leading fashion companies in Europe.",,VANGRAAF.COM,,Van Graaf International - Company,"Since its foundation in 2001, VAN GRAAF has become one of the leading fashion companies in Europe."
NEW YORKER FINLAND OY,FI,Finlande,HELSINKI,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail trade of clothing apparels and accessories,Retail,"Bolagets verksamhetsområde är detaljförsäljning, grosshandel och tillverkning av textilier, accessoarer och skor och allt annat som är förknippat med de. Bolaget kann äga fastigheter, värdepapper och aktier.","Bolagets verksamhetsomrade ar detaljforsaljning, grosshandel och tillverkning av textilier, accessoarer och skor och allt annat som ar forknippat med de. Bolaget kann aga fastigheter, vardepapper och aktier.",www.newyorker.de,9,5,4,48,39,37,YES,NO,NO,porinpuuvilla.fi,NEW YORKER | Dress for the moment,"Entdecke die neuesten Modetrends fÃ¼r Damen und Herren bei NEW YORKER. Kleidung von AMISU, CENSORED, FISHBONE, SMOG und BLACK SQUAD.","Amisu, Smog, Fishbone, Censored, Accessoires, Denim, Streetwear, Sportwear, Underwear, Trends, Outfits, Kollektionen",Porinpuuvilla,,,NEW YORKER | Dress for the moment,"Discover the latest fashion trends for women and men at New Yorker. Clothing by Amisu, Censored, Fishbone, Smog and Black Squad.",Pori,
IRIDE METALLI SPA,IT,Italie,MILANO,VIALE CERTOSA 95,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail sale of watches and jewelry products,Retail,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,Engaged in the retail sale of watches and jewelry products [source: Bureau van Dijk],www.iridemetalli.com,0,0,0,46,48,52,YES,NO,NO,,Iride Metalli | HOME,,,,,,Iride Metals | Home,,,
