,Company Name,ISO Country Code,Country,City,Address,NACE Rev. 2 Code principal,"NACE Principal Rev. 2, description ",Sector,Main activity,Description in Original language,Description in English,Website,"Operating result [=EBIT]
mEUR 2021","Operating result [=EBIT]
mEUR 2020","Operating result [=EBIT]
mEUR 2019","Turnover
mEUR 2021","Turnover
mEUR 2020","Turnover
mEUR 2019",Availability of financial data,2 years of consecutive losses,Average loss over 3 years
1,ITX HELLAS SINGLE MEMBER S.A.,GR,Grèce,ATHENS,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail of fashion clothing,Retail,,"Exclusive imports and trade of garments, shoes, accessories, leather goods, perfumes, cosmetics, white linen, decoratives, tableware and small furniture (also via internet)","www.zara.com
www.fashionwear1.gr",31,17,22,459,352,300,YES,NO,NO
2,RANDEVU,RU,Fédération de Russie,MOSCOW,"UL. SKAKOVAYA D. 17, STR. 2, KOM. 2",4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,"Engaged in the wholesale trade and marketing of clothing, including underwear and footwear",Wholesale,?????????? ????? ? ???????????,"Engaged in the wholesale trade and marketing of clothing, including underwear and footwear [source: Bureau van Dijk]","www.rendez-vous.ru
www.rest-randevu.ru",15,14,1,306,230,337,YES,NO,NO
3,ZEEMAN TEXTIELSUPERS,FR,France,PARIS,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing and outerwear as well as fashion apparels and accessories,Retail,"Négoce au détail ou en gros de vêtements, accessoires, articles destinés à l'habitation.",Engaged in the retail sale of clothing and outerwear as well as fashion apparels and accessories [source: Bureau van Dijk],www.zeeman.com,4,3,4,164,137,147,YES,NO,NO
4,ANSWEAR.COM S.A.,PL,Pologne,KRAKOW,,4771,Commerce de détail d'habillement en magasin spécialisé,"Digital platform for the sale of branded clothing, footwear and accessories in the CEE region",Wholesale; Retail; Services,,The main activities of the Company are Electronic Shopping and Mail-Order Houses.,www.answear.com,8,5,1,149,90,73,YES,NO,NO
5,REGENT GOLD,RU,Fédération de Russie,"AGALATOVSKOE SELSKOE POSELENIE, D. SKOTNOE","UL. SAVUSHKINA D. 126, LIT. A, POMESHCH. 133-N",4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Operates as other miscellaneous store retailer,Retail,???????? ?????????? ?????????,Operates as other miscellaneous store retailer [source: Bureau van Dijk],www.zolotoy.ru,22,16,5,141,103,117,YES,NO,NO
6,WOLW-POL SP. Z O.O.,PL,Pologne,WARSZAWA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the wholesale distribution of clothing products,Wholesale,,Engaged in the wholesale distribution of clothing products [source: Bureau van Dijk],www.dieselshop.pl,11,6,1,135,105,99,YES,NO,NO
7,NILSON GROUP AB FILIAL NORGE,NO,Norvège,OSLO,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear,Retail,SKODETALJHANDEL MED DERTIL NATURLIG HØRENDE VIRKSOMHET.,Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear [source: Bureau van Dijk],,-2,-20,-6,120,125,191,YES,YES,
8,SAKURA LLC,RU,Fédération de Russie,VELIKII NOVGOROD,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear,Retail,,Engaged in the retail sale of footwear [source: Bureau van Dijk],"xn--23-6kca3cvbes.xn--p1ai
ilovesakura.ru/spb",0,4,5,94,69,131,YES,NO,NO
9,LIMITED LIABILITY COMPANY HUGO BOSS RUS,RU,Fédération de Russie,MOSCOW,"PROEZD 1-I KRASNOGVARDEISKII D. 22, STR. 1, FLOOR/POMESHCH./KOM. 26/A26/7",4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail sale of clothing, perfume, and accessories",Retail,"???????? ???????, ??????, ????????????.","Trade with clothes, footwear, accessories.","www.hugoboss.com/ru
www.emg.ru",7,3,6,90,49,66,YES,NO,NO
10,MNG-MANGO U.K. LIMITED,GB,Royaume-Uni,LONDON,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the production and retail distribution of clothing and accessories for women and men,Manufacturing; Retail,,Retail of clothes and accessories.,www.shop.mango.com,4,-5,-2,89,65,80,YES,YES,
11,B & B COLLECTION SRL,RO,Roumanie,BUCURESTI SECTORUL 3,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the import and distribution of more than 100 international brands of watches and jewelry,Wholesale,,Engaged in the import and distribution of more than 100 international brands of watches and jewelry [source: Bureau van Dijk],www.bbcollection.ro,11,7,10,88,70,86,YES,NO,NO
12,SEZONNAYA KOLLEKTSIYA,RU,Fédération de Russie,MOSCOW,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the operation of shoe stores,Retail,???????? ??????,Engaged in the operation of shoe stores [source: Bureau van Dijk],zenden.ru,1,0,-2,78,60,128,YES,NO,YES
13,GRUPPO PRITELLI S.R.L.,IT,Italie,CATTOLICA,VIA RESPIGHI 54 INT.4,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the management and operation of clothing stores,Retail,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,Engaged in the management and operation of clothing stores [source: Bureau van Dijk],"www.gruppopritelli.it
www.gpracingapparels.com",2,0,1,74,67,63,YES,NO,NO
14,SUGAR S.R.L.,IT,Italie,AREZZO,CORSO ITALIA 60,4771,Commerce de détail d'habillement en magasin spécialisé,,,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,,"www.sugar.it
www.sugarmondialsrl.com",9,7,8,72,75,77,YES,NO,NO
15,TREID MANAGEMENT,RU,Fédération de Russie,MOSCOW,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the wholesale of clothing apparel,Wholesale,??????? ??????,Engaged in the wholesale of clothing apparel [source: Bureau van Dijk],lgcity.ru,8,6,11,70,62,93,YES,NO,NO
16,WISE S.R.L.,IT,Italie,CREMONA,CORSO GIUSEPPE MAZZINI 71,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation of a chain of family clothing stores,Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Engaged in the operation of a chain of family clothing stores [source: Bureau van Dijk],"www.wiseboutique.com
www.netwise.it",2,1,1,69,65,70,YES,NO,NO
17,ETERNA MODE GMBH ZWEIGNIEDERLASSUNG OESTERREICH,AT,Autriche,PARNDORF,,4771,Commerce de détail d'habillement en magasin spécialisé,,,,,,-4,2,11,67,79,108,YES,NO,NO
18,NEW YORKER HUNGARY KERESKEDELMI KORLATOLT FELELOSSEGU TARSASAG,HU,Hongrie,BUDAPEST,,4751,Commerce de détail de textiles en magasin spécialisé,Engaged in the retail trade of clothing apparels and footwear for men and women,Retail,,Engaged in the retail trade of clothing apparels and footwear for men and women [source: Bureau van Dijk],www.newyorker.de,22,13,17,67,55,67,YES,NO,NO
19,ARENA,RU,Fédération de Russie,MOSCOW,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Retail sale of leather goods,Retail,???????? ?????? ? ????????????,sale of footwear and accessories,"www.noone.ru
arena-city65.ru",6,3,1,64,48,69,YES,NO,NO
20,ENCUENTRO MODAS SLU,ES,Espagne,ARAFO,,4771,Commerce de détail d'habillement en magasin spécialisé,"Primarily engaged in the design, manufacture and retail sale of wearing apparel and accessories",Manufacturing,Comercio al por menor de prendas de vestir y complementos para señora.,"Primarily engaged in the design, manufacture and retail sale of wearing apparel and accessories [source: Bureau van Dijk]",www.encuentromoda.com,0,-5,3,64,54,74,YES,NO,YES
21,"TORRES JOALHEIROS, S.A.",PT,Portugal,LISBOA,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail sale of watches and jewelry,Retail,"A sociedade tem por objeto social o comércio de ourivesaria, joalharia e relojoarias, bijuteria e artigos afins incluindo os produzidos ou comercializados pelas marcas representadas bem como o exercício destas atividades comerciais por correspondência ou via internet",Engaged in the retail sale of watches and jewelry [source: Bureau van Dijk],"www.torres.pt
torres.pt",15,8,12,64,46,68,YES,NO,NO
22,C & A MODE KERESKEDELMI KORLATOLT FELELOSSEGU TARSASAG,HU,Hongrie,BUDAPEST,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing apparels and footwear for men and women,Retail,,Engaged in the retail sale of clothing apparels and footwear for men and women [source: Bureau van Dijk],"www.c-and-a.com/hu
www.c-and-a.hu
www.c-and-a.com/eu/en/shop",2,-5,3,64,52,79,YES,NO,NO
23,"JOINT STOCK COMPANY STOLESHNIKOV,12 JSC STOLESHNIKOV,12",RU,Fédération de Russie,MOSCOW,"PER. NIZHNII KISELNYI D. 4, ET 5 POM.I KOM 15",4771,Commerce de détail d'habillement en magasin spécialisé,Retail distribution of knitted and crocheted apparel,Retail,,Retail distribution of knitted and crocheted apparel [source: Bureau van Dijk],hermes.com,16,8,7,62,37,38,YES,NO,NO
24,AXEL KAUFMANN APS,DK,Danemark,AARHUS C,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing principally in Denmark,Retail,,Engaged in the retail sale of clothing principally in Denmark [source: Bureau van Dijk],www.kaufmann.dk,1,0,1,57,62,70,YES,NO,NO
25,OCHNIK S.A.,PL,Pologne,GARWOLIN,,4771,Commerce de détail d'habillement en magasin spécialisé,Primarily engaged in the retail sale of clothing and accessories in Poland,Retail,,Primarily engaged in the retail sale of clothing and accessories in Poland [source: Bureau van Dijk],www.ochnik.com,9,4,6,58,44,55,YES,NO,NO
26,ME AND EM LIMITED,GB,Royaume-Uni,LONDON,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail distribution of clothing,Retail,,Design and retail contemporary clothing and accessories.,www.meandem.com,12,2,0,57,26,20,YES,NO,NO
27,CARRY SP. Z O.O.,PL,Pologne,POZNAN,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing,Retail,,Trade: outwear,www.carry.pl,9,2,6,56,50,79,YES,NO,NO
28,NEWFASHION LIMITED LIABILITY COMPANY,RU,Fédération de Russie,MOSCOW,,4751,Commerce de détail de textiles en magasin spécialisé,Engaged in the retail sale of textiles in specialised stores,Retail,???????? ??????? ???????? ????? FINN FLARE.,"Sale of clothing, trademark FINN FLARE.",www.finn-flare.ru,7,5,8,55,47,83,YES,NO,NO
29,PANCLUB JSC,RU,Fédération de Russie,MOSCOW,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in selling jewelry and other related personal adornment,Retail,???????? ?????????? ?????????,Engaged in selling jewelry and other related personal adornment [source: Bureau van Dijk],"pandora.net
pandorarussia.ru",4,1,13,55,41,77,YES,NO,NO
30,PLANETA SPORT D.O.O. BEOGRAD,RS,Serbie,BEOGRAD-VRACAR,,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail of sports equipment, accessories, and clothing products",Retail,,Retail sale of clothing in specialised stores,"www.planetasport.rs
www.planplus.rs",9,7,7,54,44,42,YES,NO,NO
31,VENEZIA OGANOWSKA NACHILO SP.J.,PL,Pologne,WARSZAWA,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Primarily engaged in the retail sale of footwear and leather goods,Retail,,"Trade: footwear, leather accessories","www.venezia.pl
venezia.pl",0,-6,3,53,45,65,YES,NO,YES
32,MYUNTS GRUPP,RU,Fédération de Russie,MOSCOW,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,"Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear for men, women and children",Retail,???????? ??????,"Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear for men, women and children [source: Bureau van Dijk]",thomas-muenz.ru,8,4,3,53,29,47,YES,NO,NO
33,VAN GRAAF GMBH SP.K.,PL,Pologne,WROCLAW,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of outerwear,Retail,,Trade: outwear,"www.vangraaf.pl
www.vangraaf.com",-1,-6,2,48,37,59,YES,YES,
34,NEW YORKER FINLAND OY,FI,Finlande,HELSINKI,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail trade of clothing apparels and accessories,Retail,"Bolagets verksamhetsområde är detaljförsäljning, grosshandel och tillverkning av textilier, accessoarer och skor och allt annat som är förknippat med de. Bolaget kann äga fastigheter, värdepapper och aktier.","Bolagets verksamhetsomrade ar detaljforsaljning, grosshandel och tillverkning av textilier, accessoarer och skor och allt annat som ar forknippat med de. Bolaget kann aga fastigheter, vardepapper och aktier.","www.newyorker.de
porinpuuvilla.fi",9,5,4,48,39,37,YES,NO,NO
35,IRIDE METALLI SPA,IT,Italie,MILANO,VIALE CERTOSA 95,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail sale of watches and jewelry products,Retail,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,Engaged in the retail sale of watches and jewelry products [source: Bureau van Dijk],www.iridemetalli.com,0,0,0,46,48,52,YES,NO,NO
36,RETAIL DISTRIBUTION CONCEPTS,BE,Belgique,BRUXELLES,MARGUERITE BERVOETSSTRAAT 94,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear,Retail,,Engaged in the retail sale of footwear [source: Bureau van Dijk],"www.retail-distribution.info
www.mano.be/fr/?doing_wp_cron=1626471572.3307049274444580078125",-3,-5,-1,45,35,50,YES,YES,
37,SZINGA-SPORT KERESKEDELMI KORLATOLT FELELOSSEGU TARSASAG,HU,Hongrie,BUDAPEST,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing and footwear products,Retail,,Engaged in the retail sale of clothing and footwear products [source: Bureau van Dijk],"www.playersroom.hu
sportfactory.hu",1,0,3,45,36,53,YES,NO,NO
38,KOTON TEXTILE LLC,RU,Fédération de Russie,MOSCOW,"NAB. NOVODANILOVSKAYA D. 6, K. 1, POM.XXIX KOM. 4",4771,Commerce de détail d'habillement en magasin spécialisé,Retail sale of clothing,Retail,????????? ???????? ??????? ? ???? ????????? Koton,Retail trade with clothing in Koton retail chain,textile.ru,-1,-3,-1,45,33,66,YES,YES,
39,VERTIKALNOE INTEGRIROVANIE,RU,Fédération de Russie,MOSCOW,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear,Retail,???? ??????? ????? ? ??????????? TERVOLINA,Engaged in the retail sale of footwear [source: Bureau van Dijk],www.tervolina.ru,1,2,3,39,35,72,YES,NO,NO
40,LUX TRADE LIMITED LIABILITY COMPANY,RU,Fédération de Russie,MOSCOW,,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the wholesale distribution of clothing, footwear and other fashion accessories",Wholesale,"??????? ???????? ??????? ??????? ? ?????? ??? ???????? Gulliver, Gulliver Baby ? Button Blue.","Wholesale of kids apparel and shoes under trade marks Gulliver, Gulliver Baby and Button Blue.","gulliver-wear.com
wokster-light.ru
www.gulliver.ru/brands/gulliver",5,3,6,38,31,47,YES,NO,NO
41,CROCKID LIMITED TRADE DEVELOPMENT,RU,Fédération de Russie,PERM,"UL. YAKHTENNAYA D. 24, K. 2 LIT. A, POMESHCH. 54-N, POMESHCH. 1",4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the retail sale of clothing in specialised stores,Retail,??????? ??????,children's wear.,crockid.ru,7,3,3,36,19,19,YES,NO,NO
42,"DEICHMANN TRGOVINA OBUCOM, D.O.O.",HR,Croatie,ZAGREB,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of footwear for men and women,Retail,kupnja i prodaja robe;obavljanje trgova?kog posredovanja na doma?em i inozemnom tržištu;zastupanje stranih tvrtki,"buying and selling goods;mediation on foreign and domestic market;Brands: Elefanten, AM Shoes, Gallus","www.deichmann.hr
www.deichmann.com",5,2,5,35,29,37,YES,NO,NO
43,OFFPRAIS,RU,Fédération de Russie,MOSCOW,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation and management of clothing stores,Retail,???????? ???????,Sale of clothes,www.offprice.eu,4,2,4,34,23,33,YES,NO,NO
44,VALTER FRANCO RICCI SOCIETA' PER AZIONI SIGLABILE IN VALTER FRANCO RICCI S.P.A.,IT,Italie,ALESSANDRIA,CORSO ROMA 144,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail sale of jewelry products,Retail,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,Engaged in the retail sale of jewelry products [source: Bureau van Dijk],www.astrua.com,3,2,2,33,26,30,YES,NO,NO
45,OKAIDI BELGIUM,BE,Belgique,FROYENNES,,4641,Commerce de gros de textiles,Engaged in the retail sale of infant and children's wear,Retail,,Engaged in the retail sale of infant and children's wear [source: Bureau van Dijk],"nl.okaidi.be
fr.okaidi.be",1,-2,0,32,23,30,YES,NO,NO
46,UAB ARMITANA,LT,Lituanie,VILNIAUS M.,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the retail sale of clothing apparels and footwear for men and women,Retail,,Engaged in the retail sale of clothing apparels and footwear for men and women [source: Bureau van Dijk],www.armitana.lt,3,1,1,32,23,27,YES,NO,NO
47,DIANITA STRUMICA DOOEL,MK,Macédoine du Nord,STRUMICA,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation and management of clothing stores,Retail,,Engaged in the operation and management of clothing stores [source: Bureau van Dijk],,2,1,1,32,61,8,YES,NO,NO
48,LAGRANGE 12 S.R.L.,IT,Italie,BRESCIA,VIA CODIGNOLE 45,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the retail sale of clothing, shoes and accessories",Retail,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,"Engaged in the retail sale of clothing, shoes and accessories [source: Bureau van Dijk]",www.lagrange12.it,1,0,0,32,28,27,YES,NO,NO
49,"GAP RETAIL, A LIMITED LIABILITY COMPANY",RU,Fédération de Russie,MOSCOW,"PL. PAVELETSKAYA D. 2, STR. 2, POMESHCH. I KOMN 40-41 ET 1",4771,Commerce de détail d'habillement en magasin spécialisé,Operates as a clothing and apparel store,Retail,,Operates as a clothing and apparel store [source: Bureau van Dijk],marks-and-spencer.ru,6,1,2,32,21,31,YES,NO,NO
50,MASS SHOES D.O.O.,HR,Croatie,KLANJEC,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,"Primarily engaged in the retail distribution of footwear and leather goods for men, women and children",Retail,"Trgovina obu?om;Note COVID-19:;The company's business operations are directly / indirectly affected by the consequences of official measures and recommendations to reduce the risk of corona infections. The Croatian Government proposed a set of measures to mitigate the effects of the special circumstances caused by the coronavirus epidemic. Employment protection measures:;-Croatian Employment Fund (CEF) is providing grants to support job preservation in COVID 19 affected sectors;Tax measures:;-Employers utilizing the grant provided by CEF to support job preservation are exempted from paying contributions on supported net salaries ;-Possibility to defer payment of VAT until issued invoices are settled. -Taxpayers whose business activities are during special circumstances banned, disabled or significantly impeded by decisions of the competent authority may be fully or partially exempted from paying their tax obligations ;The subject has received: ;- HRK 541.125,00 for 167 employees as support for salaries in March 2020;- HRK 666.000,00 for 167 employees as support for salaries in April 2020;- HRK 666.000,00 for 167 employees as support for salaries in May 2020;from Croatian Employment Fund (CEF). Further development remains to be seen.","Trgovina obucom;Note COVID-19:;The company's business operations are directly / indirectly affected by the consequences of official measures and recommendations to reduce the risk of corona infections. The Croatian Government proposed a set of measures to mitigate the effects of the special circumstances caused by the coronavirus epidemic. Employment protection measures:;-Croatian Employment Fund (CEF) is providing grants to support job preservation in COVID 19 affected sectors;Tax measures:;-Employers utilizing the grant provided by CEF to support job preservation are exempted from paying contributions on supported net salaries ;-Possibility to defer payment of VAT until issued invoices are settled. -Taxpayers whose business activities are during special circumstances banned, disabled or significantly impeded by decisions of the competent authority may be fully or partially exempted from paying their tax obligations ;The subject has received: ;- HRK 541.125,00 for 167 employees as support for salaries in March 2020;- HRK 666.000,00 for 167 employees as support for salaries in April 2020;- HRK 666.000,00 for 167 employees as support for salaries in May 2020;from Croatian Employment Fund (CEF). Further development remains to be seen.",www.mass-shoes.com,3,1,3,32,25,33,YES,NO,NO
51,OOO JEWELLERY HOUSE KRISTALL (LIMITED LIABILITY COMPANY),RU,Fédération de Russie,LIPETSK,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the design, manufacture, and retail marketing of jewelry and related fashion accessories",Manufacturing; Retail,,"Engaged in the design, manufacture, and retail marketing of jewelry and related fashion accessories [source: Bureau van Dijk]","kristall-shop.ru
www.kristall-shop.ru",4,4,3,32,26,38,YES,NO,NO
52,NEWPORT COLLECTION AB,SE,Suède,NORRKOPING,SODRA PROMENADEN 120,4771,Commerce de détail d'habillement en magasin spécialisé,"Marketing and trade of home textiles and furnishings, clothing and sportswear, as well as other general merchandise",Wholesale,"Bolaget skall bedriva försäljning av hemtextilier, heminredningoch sportkläder samt förvalta fast och lös egendom och därmedförenlig verksamhet.","Bolaget skall bedriva forsaljning av hemtextilier, heminredningoch sportklader samt forvalta fast och los egendom och darmedforenlig verksamhet.",www.newportcollection.se,3,1,1,30,22,13,YES,NO,NO
53,SALVADORI S.P.A.,IT,Italie,VENEZIA,SESTIERE SAN MARCO 67,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the retail sale of jewelry, watches, precious stones, and precious metals",Retail,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,"Engaged in the retail sale of jewelry, watches, precious stones, and precious metals [source: Bureau van Dijk]","salvadori-venezia.com
www.salvadori-venezia.net
www.luigisalvadori.it",5,3,4,30,22,28,YES,NO,NO
54,PERE QUERA SA,ES,Espagne,GIRONA,,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,"Engaged in the wholesale distribution of jewelry, watches, precious stones, and precious metals",Wholesale,"FABRICACION REPARACION Y COMERCIO DE ARTICULOS DE JOYERIA, PIEDRAS PRECIOSAS Y RELOJERIA.","Engaged in the wholesale distribution of jewelry, watches, precious stones, and precious metals [source: Bureau van Dijk]",www.perequera.com,5,1,2,30,19,23,YES,NO,NO
55,INTRAFASHION GROUP S.A.,GR,Grèce,KRINIDES,,4771,Commerce de détail d'habillement en magasin spécialisé,Primarily engaged in the retail sale of clothing,Retail,,"Imports, mfg (in third party facilities) and trade of women's wear, shoes, accessories, jewellery and cosmetics (also via internet). Franchising",www.pinkwoman-fashion.com,4,0,-5,30,20,27,YES,YES,
56,5 KARMANOV-A,RU,Fédération de Russie,DOLGOPRUDNYI,"PR-D LIKHACHEVSKII D. 4, STR. 2, KABINET 203",4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the management and operation of department stores,Retail,???????? ??????.,Trade in clothes,"5karmanov.ru
www.iloveiphone.ru",1,1,-1,29,22,38,YES,NO,NO
57,ZOLOTOI KVADRAT,RU,Fédération de Russie,MOSCOW,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation and management of clothing stores,Retail,,Engaged in the operation and management of clothing stores [source: Bureau van Dijk],,2,1,1,29,20,34,YES,NO,NO
58,ALINA S.R.L.,IT,Italie,VILLARICCA,VIA ANIELLO PALUMBO 57,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the operation of a chain of family clothing stores,Retail,COMMERCIO AL DETTAGLIO DI ARTICOLI DI ABBIGLIAMENTO,Engaged in the operation of a chain of family clothing stores [source: Bureau van Dijk],"www.danielloboutique.it
www.antoniodaniello.it",1,0,0,28,20,17,YES,NO,NO
59,MYRTO,BE,Belgique,BRUXELLES,ISIDORE GERARDLAAN 29,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Engaged in the retail distribution of jewellery,Retail,,Engaged in the retail distribution of jewellery [source: Bureau van Dijk],myrto.okinawa,6,3,2,28,18,23,YES,NO,NO
60,ORN (INT) LIMITED,GB,Royaume-Uni,BUCKINGHAM,,4771,Commerce de détail d'habillement en magasin spécialisé,"Engaged in the supply of high quality, cost effective products for the corporate clothing, workwear and promotional clothing markets",Wholesale,,"Manufacture, design, import and distribution of workwear clothing.",www.ornclothing.com,2,2,1,27,20,23,YES,NO,NO
61,DIESEL DEUTSCHLAND GMBH ZWEIGNIEDERLASSUNG OESTERREICH,AT,Autriche,WIEN,,4771,Commerce de détail d'habillement en magasin spécialisé,Engaged in the provision of management services to its holding businesses,Services,,Engaged in the provision of management services to its holding businesses [source: Bureau van Dijk],,0,-1,4,26,29,62,YES,NO,NO
62,CALZEDONIA CROATIA D.O.O.,HR,Croatie,JALZABET,,4771,Commerce de détail d'habillement en magasin spécialisé,Primarily engaged in the retail sale of clothing and related accessories,Retail,,Primarily engaged in the retail sale of clothing and related accessories [source: Bureau van Dijk],www.calzedonia.com,4,2,3,26,20,26,YES,NO,NO
63,DOMANI S.R.L.,IT,Italie,TREVIGLIO,VIA ROMA 8,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the management and operation of shoe stores,Retail; Services,COMMERCIO AL DETTAGLIO DI CALZATURE E ACCESSORI,Engaged in the management and operation of shoe stores [source: Bureau van Dijk],"www.pozzilei.it
www.ufficiodomani.it",2,2,1,26,23,25,YES,NO,NO
64,GIOIELLERIA B. S.R.L.,IT,Italie,ROMA,VIA DELLA CROCE 13,4777,Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé,Operates as a retailer of miscellaneous shopping goods,Retail,COMMERCIO AL DETTAGLIO DI OROLOGI E ARTICOLI DI GIOIELLERIA E ARGE ERIA,Operates as a retailer of miscellaneous shopping goods [source: Bureau van Dijk],www.gioielleriabonanno.it,1,1,0,26,16,12,YES,NO,NO
65,"FACIT - MERCATO DELLA CONFEZIONE S.P.A. O, IN FORMA ABBREVIATA FACIT S.P.A.",IT,Italie,TORINO,VIA CERVINO 23,4771,Commerce de détail d'habillement en magasin spécialisé,Operates as retailer of furniture and home furnishing,Retail,COMMERCIO AL DETTAGLIO DI CONFEZIONI PER ADULTI,Operates as retailer of furniture and home furnishing [source: Bureau van Dijk],"www.facitmoda.com
shop.facitmoda.com",1,-3,0,26,18,30,YES,NO,YES
66,V.Y.B.Y.,BE,Belgique,TIENEN,,4511,Commerce de voitures et de véhicules automobiles légers,"Engaged in the wholesale of motor vehicles, spare parts and accessories",Wholesale,,"Engaged in the wholesale of motor vehicles, spare parts and accessories [source: Bureau van Dijk]","www.australianhouse.net
www.automagna.eu/nl/1/automagna_partner_voor_de_professionele_autohandelaar.aspx",0,0,0,25,23,20,YES,NO,NO
67,BENVENUTI SRL,RO,Roumanie,ORADEA,,4772,Commerce de détail de chaussures et d'articles en cuir en magasin spécialisé,Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear,Retail,,Engaged in the operation of a chain of shoe stores; Involved in the retail trade of footwear [source: Bureau van Dijk],www.benvenuti.ro,1,-1,1,25,20,28,YES,NO,NO
